               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.042204,            0.031312,                   0,             0.91852,             0.91186,             0.94031,             0.37761,            0.042291,            0.040373,                   0,           0.0091486,           0.0091486,           0.0091486
                  88,            0.042149,            0.032611,                   0,             0.90211,             0.90594,             0.92485,             0.39182,              0.0409,             0.04036,                   0,           0.0091387,           0.0091387,           0.0091387
                  89,            0.038734,            0.033354,                   0,             0.91614,             0.88882,             0.91583,             0.36763,            0.042317,            0.040359,                   0,           0.0091288,           0.0091288,           0.0091288
                  90,            0.042126,             0.03294,                   0,             0.91209,             0.91438,             0.92775,             0.39075,            0.040555,            0.038948,                   0,           0.0091189,           0.0091189,           0.0091189
                  91,            0.038888,            0.032193,                   0,             0.92628,             0.88475,              0.9317,             0.39231,            0.042241,            0.039714,                   0,            0.009109,            0.009109,            0.009109
                  92,            0.040707,            0.030572,                   0,             0.90594,             0.89153,             0.93045,             0.38803,            0.041423,             0.04012,                   0,           0.0090991,           0.0090991,           0.0090991
                  93,             0.04152,             0.03462,                   0,             0.92602,             0.88475,             0.94333,             0.40371,            0.040695,            0.039613,                   0,           0.0090892,           0.0090892,           0.0090892
                  94,            0.039999,            0.030703,                   0,             0.93362,             0.87797,             0.93252,             0.40511,            0.040423,            0.040339,                   0,           0.0090793,           0.0090793,           0.0090793
                  95,            0.040194,            0.031916,                   0,             0.90794,             0.90272,             0.93438,             0.38101,            0.044136,            0.040505,                   0,           0.0090694,           0.0090694,           0.0090694
                  96,            0.042064,            0.030243,                   0,             0.92084,             0.90692,             0.93556,             0.42172,            0.040104,            0.039327,                   0,           0.0090595,           0.0090595,           0.0090595
                  97,            0.038557,            0.028273,                   0,             0.91688,             0.89741,             0.92857,             0.40411,             0.03995,            0.039743,                   0,           0.0090496,           0.0090496,           0.0090496
                  98,            0.040524,             0.03001,                   0,             0.91493,              0.8678,             0.91202,             0.39253,            0.041599,            0.040455,                   0,           0.0090397,           0.0090397,           0.0090397
                  99,            0.038576,            0.029952,                   0,              0.8921,             0.89681,             0.93452,             0.39044,            0.041791,            0.039629,                   0,           0.0090298,           0.0090298,           0.0090298
                 100,             0.03914,            0.032163,                   0,             0.92365,             0.89153,             0.94074,             0.39473,            0.041513,            0.039376,                   0,           0.0090199,           0.0090199,           0.0090199
                 101,            0.041209,            0.030477,                   0,             0.93705,             0.87797,             0.94632,             0.42012,            0.039988,            0.038927,                   0,             0.00901,             0.00901,             0.00901
                 102,            0.038507,            0.032382,                   0,             0.93521,             0.88074,             0.93024,             0.39398,            0.042372,            0.039565,                   0,           0.0090001,           0.0090001,           0.0090001
                 103,            0.039605,            0.033577,                   0,             0.94007,             0.88475,             0.93558,             0.40091,            0.041179,            0.039827,                   0,           0.0089902,           0.0089902,           0.0089902
                 104,            0.040659,            0.032569,                   0,             0.93237,             0.88136,             0.93819,              0.4349,            0.040455,            0.040381,                   0,           0.0089803,           0.0089803,           0.0089803
